Gene	mean_adj_r_sq	max_adj_r_sq	mean_cor	cor_value	cor_pvalue	cor_padj_BH
ENST00000658429.1	0.0107080405972987	0.0185588502621683	0.0619607003838844	-0.730611255619125	0.0163962813499437	0.0208787179779859
ENST00000701700.1	0.00990640304826204	0.0278111999039469	0.0248191668512459	-0.810401006098125	0.00446613467820007	0.00664290620202868
ENST00000517790.2	0.00873754467207848	0.0216763369332562	0.0768041363038118	-0.952430579971893	2.1148524771332e-05	0.00011697777764143
ENST00000664299.1	0.00736324017687753	0.0157345909846758	0.0671077026418373	-0.916061984205895	0.000196057167072111	0.000502929254663242
ENST00000513868.6	0.0069425170211799	0.0165046273475379	0.00550003365195564	-0.902644472001513	0.000348946151509283	0.000753213034355404
ENST00000657596.1	0.00662789815195718	0.0201203588051719	0.069215889213593	-0.87413041007478	0.000940823494845451	0.0016992424345678
ENST00000701841.1	0.00620197756031791	0.0155035634683368	0.0351274658811401	-0.943301336353897	4.22094508562943e-05	0.000177882685751526
ENST00000668123.1	0.00612392584417333	0.0144790636632129	0.0549968378671392	-0.74074553753487	0.014255180254141	0.0187439120583081
ENST00000659912.1	0.00611877864848334	0.013901912268532	0.0543699074482206	-0.903720067345604	0.000334225934707643	0.00073947488054066
ENST00000664610.1	0.00597126230581346	0.0143013499659085	0.0270600237901417	-0.909505808585375	0.000262725091502634	0.000620031215946216
ENST00000657517.1	0.00540860604863813	0.0158267419455733	0.0156421380574313	-0.922734720145849	0.000141928131514196	0.000418254384467706
ENST00000665721.1	0.00414211611056274	0.0122297952495574	0.0390533805727554	-0.957858707960847	1.31122172719965e-05	8.59578687830878e-05
ENST00000664995.1	0.00404832871383995	0.012226656088788	0.0435737073100132	-0.921577648152729	0.000150407586232341	0.000429389399405232
ENST00000659666.1	0.00361189091672433	0.0217638421958248	0.0162550422034333	-0.813106835741923	0.00423131221407125	0.00634696832110688
ENST00000522963.6	0.00274555042000931	0.00884461500608313	0.0213070347565042	-0.765698064849057	0.00982770434504526	0.0133807974544078
ENST00000654105.1	0.00273722211427929	0.00849435581217151	0.0591853313807749	-0.854660487091697	0.0016318694392056	0.00269944757700365
ENST00000666452.1	0.00245434539935392	0.0103999852354609	0.0330642532546963	-0.743024995908793	0.0138019888759201	0.0183680603837434
ENST00000702532.1	0.00222968953034668	0.0140773018780256	0.032584541340922	-0.948374788925965	2.91919603714362e-05	0.000143527138492895
ENST00000667539.1	0.00086734756736595	0.0207004847314769	0.0252804988754744	-0.964817664361185	6.42424604719179e-06	6.63644108710377e-05
ENST00000657667.1	0.000662633269487756	0.0142106054249924	0.0301502787793848	-0.940681801433897	5.04052130426309e-05	0.000198412973497653
ENST00000523328.6	0.000643339166774848	0.0093639005784163	0.017889947217258	-0.976933206631179	1.20463237259921e-06	1.938362999546e-05
ENST00000661205.1	-0.000660778646597915	0.00681158050168307	0.0262681518731473	-0.880102068146961	0.000780422494757531	0.00153483090635648
ENST00000656402.1	-0.00140581853049503	0.00366797646998385	0.0382274628552353	-0.809674303683157	0.00453075530521031	0.00668286407518521
ENST00000666777.1	-0.00149223124687928	0.00753924026790531	0.0147948345568777	-0.908150932990754	0.000278347495628864	0.000644177616113506
ENST00000666105.1	-0.00180954228467813	0.00782019189190253	0.0169374214167353	-0.940670189037317	5.04439763129627e-05	0.000198412973497653
ENST00000671587.1	-0.00212007843973683	0.00945003801267807	0.0367077568107363	-0.80825950944618	0.00465847655790137	0.00681446570866564
ENST00000655099.1	-0.00257024667311054	0.00559168834358414	0.0133132599173432	-0.829570424360929	0.00298852843085349	0.00459973506313972
ENST00000690350.1	-0.00475879536703466	0.00347792712502726	0.0410271589431848	-0.718186498033117	0.0193144649107307	0.024245817653896
ENST00000523190.7	-0.00505419329018477	0.00169246819770308	0.0287529501148392	-0.674135287757385	0.0325385285877097	0.0381411891392359
ENST00000664742.1	-0.00540352022269296	0.0156426654743232	-0.0317100249507588	-0.846912483741952	0.00198902307619137	0.00320051894987156
ENST00000657451.1	-0.00651976055958178	0.000646717637982852	0.00749786583924193	-0.911215452002058	0.000243943599869479	0.000591479687354765
ENST00000655783.1	-0.00692527524200428	0.00137435923606044	0.0405387209462837	-0.878910036089919	0.000810710558440356	0.00154429188345175
ENST00000651664.1	-0.006932061321275	0.00997760976629958	0.00571238667117019	-0.94792234531955	3.02121211833554e-05	0.000144037037203699
ENST00000670223.1	-0.00761896302732616	0.00119995080776181	0.0128519038713269	-0.953528894346223	1.9287817350363e-05	0.000113798122367142
ENST00000657211.1	-0.00824306970715472	0.00157642695289351	0.0025592379204783	-0.958735121546853	1.20678764669921e-05	8.54405653863039e-05
ENST00000656411.1	-0.010447049843377	0.00291274525614904	-0.00688185404514842	-0.921106544309548	0.000153964794811688	0.000432567756851884
ENST00000663753.1	-0.0116162365097152	0.00801294893615867	-0.0412006513663951	-0.740017427636776	0.0144021019205079	0.0187439120583081
ENST00000667305.1	-0.0125024055688751	-0.00820696544821065	-0.00633620357813976	-0.878787545512083	0.000813870722163688	0.00154429188345175
ENST00000651587.1	-0.0128687475229016	-0.00189336801529039	-0.0106680304045546	-0.938833642817614	5.68576932621133e-05	0.000218778515378132
ENST00000663461.1	-0.014787714300017	-0.00630344377238901	-0.0229541185166947	-0.919524758249972	0.000166363327223036	0.000453020137207344
ENST00000665372.1	-0.0168978025096223	-0.00895384171565206	-0.0667957200583149	-0.796961647718912	0.00577242402759681	0.00830665896654175
ENST00000690788.1	-0.0169855824557423	-0.00853117205558163	-0.0336715680779135	-0.869325027607651	0.00108634401426383	0.00190379099529404
ENST00000670532.1	-0.01725714734599	-0.00184862290156551	0.0166415354666402	-0.917671408502573	0.000181809133089831	0.000480301739655225
ENST00000660631.1	-0.01762342085285	-0.0090531858135674	-0.0269656772837585	-0.95957608582256	1.1125177541762e-05	8.20481843704949e-05
ENST00000664293.1	-0.0185642573047503	-0.010096864945319	0.0133014805513765	-0.871016793681779	0.00103336998789753	0.00184754028139255
ENST00000661988.1	-0.0186380798383913	-0.000373554209288196	-0.0318293465652405	-0.87800365824267	0.000834307591259491	0.001554446775294
ENST00000657356.1	-0.0220398104800633	-0.011082707080474	-0.136188339597939	-0.40531702782262	0.245230677596295	0.256839230381918
ENST00000656491.1	-0.0225868744702448	-0.0159860965580689	-0.0308977017361839	-0.713073722934754	0.0206132735437471	0.0255143315891136
ENST00000692433.1	-0.0233130468167728	-0.0122008055174301	-0.0637162574582506	-0.891896763397458	0.000523421243247685	0.00107727395412605
ENST00000521600.5	-0.0265959246938078	-0.0048299083633021	-0.166833350498802	-0.731390830135324	0.016224114322261	0.020809190108987
ENST00000665698.1	-0.0275565887814974	-0.0195308223934718	-0.0998745051326433	-0.728622451121848	0.016841252646184	0.0212921551312469
ENST00000659625.1	-0.0285949866833059	-0.0205991900573412	-0.0396405819153034	-0.588011371820284	0.0737964592519595	0.0811302688670611
ENST00000512617.7	NA	NA	NA	-0.803042268398837	0.0543682956197414	0.0609062552195837
ENST00000517525.2	NA	NA	NA	NA	NA	NA
ENST00000519481.6	NA	NA	NA	NA	NA	NA
ENST00000652728.1	NA	NA	NA	-0.854473812437604	0.0302258394666221	0.0359058629905511
ENST00000653608.1	NA	NA	NA	NA	NA	NA
ENST00000653845.1	NA	NA	NA	0.913918008402394	0.266082953141467	0.273817922709533
ENST00000654369.1	NA	NA	NA	-0.786480219158225	0.213519780841775	0.224958340529727
ENST00000656532.1	NA	NA	NA	NA	NA	NA
ENST00000656880.1	NA	NA	NA	-0.715954104593835	0.045781418104373	0.0522794258353163
ENST00000656948.1	NA	NA	NA	-0.934186343944764	0.00205947906297223	0.0032547124477329
ENST00000657183.1	NA	NA	NA	-0.46892757780014	0.288481779074483	0.295151878012622
ENST00000657384.1	NA	NA	NA	-0.914249833391641	0.0297522550722337	0.0355820888363875
ENST00000657682.1	NA	NA	NA	-0.318439405219628	0.601510902852252	0.611881780487635
ENST00000657844.1	NA	NA	NA	-0.976671707224133	0.0233282927758667	0.0280891688525741
ENST00000657945.1	NA	NA	NA	-0.947591117164299	0.000103065964121766	0.000337827326843565
ENST00000658556.1	NA	NA	NA	-0.906610965967586	0.000747252216175866	0.00150299593480828
ENST00000660122.1	NA	NA	NA	-0.990830722102643	0.000125728029205983	0.000388982832948482
ENST00000660146.1	NA	NA	NA	NA	NA	NA
ENST00000660659.1	NA	NA	NA	-0.880652203876306	0.00387860838694479	0.00586763832896775
ENST00000660896.1	NA	NA	NA	-0.16364890683884	0.756717977541143	0.756717977541143
ENST00000661160.1	NA	NA	NA	-0.612503514765662	0.106462204120697	0.114901281276606
ENST00000661391.1	NA	NA	NA	NA	NA	NA
ENST00000661625.1	NA	NA	NA	-0.823976190403581	0.0226542742842262	0.0276538382641933
ENST00000661830.1	NA	NA	NA	-0.952616110884914	0.0122933099188716	0.0164842110275778
ENST00000662061.1	NA	NA	NA	-0.823493007486708	0.00637127213141818	0.00895012037508744
