Gene	mirnaTG
ENSG00000269293.5	no
ENSG00000125686.12	yes
ENSG00000136942.15	no
ENSG00000126254.12	no
ENSG00000101639.19	no
ENSG00000162650.17	no
ENSG00000178980.16	no
ENSG00000169398.20	yes
ENSG00000108510.10	yes
ENSG00000180917.18	no
ENSG00000171466.10	no
ENSG00000023516.9	yes
ENSG00000118939.19	yes
ENSG00000160551.12	yes
ENSG00000104960.15	no
ENSG00000167863.12	no
ENSG00000135317.14	no
ENSG00000099797.15	no
ENSG00000223546.9	no
ENSG00000085491.17	no
ENSG00000131143.10	no
ENSG00000131791.8	no
ENSG00000143751.10	no
ENSG00000176994.11	no
ENSG00000274104.2	no
ENSG00000171634.19	yes
ENSG00000099949.22	yes
ENSG00000138780.15	no
ENSG00000116539.14	yes
ENSG00000214087.9	no
ENSG00000157985.20	no
ENSG00000226054.2	no
ENSG00000118058.25	no
ENSG00000100911.16	no
ENSG00000196391.11	no
ENSG00000204922.5	no
ENSG00000186395.9	yes
ENSG00000165650.12	yes
ENSG00000175595.16	no
ENSG00000270558.1	no
ENSG00000023287.13	yes
ENSG00000124942.14	yes
ENSG00000103994.18	no
ENSG00000184967.7	no
ENSG00000146350.14	no
ENSG00000110172.12	no
ENSG00000152332.16	yes
ENSG00000160799.12	no
ENSG00000138495.7	no
ENSG00000253106.1	no
ENSG00000244187.8	no
ENSG00000144713.13	no
ENSG00000226688.9	no
ENSG00000235863.4	no
ENSG00000165156.15	no
ENSG00000167447.13	no
ENSG00000120784.17	no
ENSG00000258311.5	no
ENSG00000205155.8	no
ENSG00000127445.14	no
ENSG00000127603.32	yes
ENSG00000224877.4	no
ENSG00000172869.15	yes
ENSG00000107854.7	yes
ENSG00000099330.9	no
ENSG00000096433.11	no
ENSG00000134815.19	no
ENSG00000186260.17	no
ENSG00000240445.6	no
ENSG00000129534.14	no
ENSG00000118292.9	no
ENSG00000124422.12	yes
ENSG00000197063.11	no
ENSG00000118412.13	yes
ENSG00000177600.9	no
ENSG00000101596.17	no
ENSG00000136205.18	yes
ENSG00000198018.7	no
ENSG00000105701.16	no
ENSG00000147421.18	no
ENSG00000291202.1	no
ENSG00000188167.9	no
ENSG00000167302.11	no
ENSG00000130731.16	no
ENSG00000111678.11	no
ENSG00000164830.19	yes
ENSG00000229833.11	no
ENSG00000180879.14	no
ENSG00000182796.16	no
ENSG00000103540.17	yes
ENSG00000159199.14	no
ENSG00000104859.15	no
ENSG00000100142.16	yes
ENSG00000119285.11	no
ENSG00000197077.14	no
ENSG00000130813.18	no
ENSG00000188994.14	yes
ENSG00000138031.15	no
ENSG00000156453.14	no
ENSG00000130332.15	no
ENSG00000134318.16	yes
ENSG00000215424.10	no
ENSG00000072415.10	no
ENSG00000105404.11	yes
ENSG00000054148.18	no
ENSG00000142669.15	no
ENSG00000124198.10	yes
ENSG00000112992.18	yes
ENSG00000176978.15	no
ENSG00000168275.16	no
ENSG00000168802.14	no
ENSG00000120137.7	yes
ENSG00000046604.14	no
ENSG00000187630.18	no
ENSG00000138658.16	no
ENSG00000162910.19	no
ENSG00000258366.12	no
ENSG00000143774.18	no
ENSG00000181392.17	no
ENSG00000139116.19	no
ENSG00000119899.13	yes
ENSG00000167797.8	no
ENSG00000135473.16	no
ENSG00000148498.17	yes
ENSG00000257704.4	yes
ENSG00000152582.14	no
ENSG00000168273.8	no
ENSG00000007392.17	no
ENSG00000172922.11	no
ENSG00000217648.1	no
ENSG00000160446.19	no
ENSG00000143748.18	no
ENSG00000198589.15	yes
ENSG00000123159.16	no
ENSG00000255837.2	no
ENSG00000100908.14	no
ENSG00000107186.17	no
ENSG00000174738.13	no
ENSG00000143418.20	yes
ENSG00000100129.18	no
ENSG00000143256.5	no
ENSG00000180626.10	no
ENSG00000164506.16	no
ENSG00000262246.6	no
ENSG00000176853.16	yes
ENSG00000197535.16	yes
ENSG00000210082.2	no
ENSG00000132424.17	no
ENSG00000104823.9	no
ENSG00000234444.10	no
ENSG00000179085.8	no
ENSG00000249859.14	no
ENSG00000104517.13	no
ENSG00000284753.2	no
ENSG00000248487.10	no
ENSG00000279089.1	no
ENSG00000164405.11	no
ENSG00000169972.13	no
ENSG00000196586.17	yes
ENSG00000185278.16	no
ENSG00000138182.15	no
ENSG00000130522.6	yes
ENSG00000283390.1	no
ENSG00000250318.1	no
ENSG00000255717.9	yes
ENSG00000239672.8	no
ENSG00000166337.11	no
ENSG00000169689.15	no
ENSG00000066777.9	yes
ENSG00000165115.15	no
ENSG00000013441.17	no
ENSG00000187775.17	no
ENSG00000285669.1	no
ENSG00000257093.7	no
ENSG00000144029.14	yes
ENSG00000198816.7	no
ENSG00000197321.16	no
ENSG00000253729.9	yes
ENSG00000232611.1	no
ENSG00000230982.1	no
ENSG00000268043.9	no
ENSG00000225663.8	no
ENSG00000167615.18	yes
ENSG00000246451.2	no
ENSG00000226029.1	no
ENSG00000102901.13	no
ENSG00000158805.12	no
ENSG00000123870.11	no
ENSG00000115350.12	no
ENSG00000249915.9	no
ENSG00000198712.1	no
ENSG00000132819.17	no
ENSG00000138771.16	yes
ENSG00000106330.12	no
ENSG00000204623.11	no
ENSG00000167306.21	no
ENSG00000157224.16	yes
ENSG00000198938.2	no
ENSG00000111057.11	no
ENSG00000205544.4	no
ENSG00000272054.1	no
ENSG00000226742.4	no
ENSG00000146858.8	no
ENSG00000259366.3	no
ENSG00000143793.13	no
ENSG00000182165.20	no
ENSG00000172728.16	no
ENSG00000135338.14	no
ENSG00000105617.4	no
ENSG00000203326.12	yes
ENSG00000179406.10	no
ENSG00000273183.1	no
ENSG00000185189.18	no
ENSG00000164898.13	no
ENSG00000179271.3	no
ENSG00000006432.16	yes
ENSG00000185803.12	no
ENSG00000204237.5	no
ENSG00000221990.5	no
ENSG00000141741.12	no
ENSG00000228451.5	no
ENSG00000188227.14	no
ENSG00000230551.4	no
ENSG00000145734.20	yes
ENSG00000158716.9	no
ENSG00000230224.1	no
ENSG00000083168.11	no
ENSG00000007255.10	no
ENSG00000229152.2	no
ENSG00000255121.2	no
ENSG00000108506.14	no
ENSG00000242588.7	no
ENSG00000161265.15	no
ENSG00000166436.18	no
ENSG00000179403.12	yes
ENSG00000221978.13	no
ENSG00000148225.17	no
ENSG00000124006.15	no
ENSG00000240731.1	no
ENSG00000152926.16	yes
ENSG00000171914.17	no
ENSG00000185633.11	no
ENSG00000008086.13	no
ENSG00000148362.11	no
ENSG00000173457.11	no
ENSG00000189144.15	no
ENSG00000287562.1	no
ENSG00000196388.9	no
ENSG00000111348.9	no
ENSG00000225573.4	no
ENSG00000100836.11	no
ENSG00000279159.1	no
ENSG00000167967.16	no
ENSG00000186166.9	no
ENSG00000203950.7	no
ENSG00000177888.8	yes
ENSG00000008128.23	no
ENSG00000150764.14	yes
ENSG00000290921.1	no
ENSG00000101400.6	no
ENSG00000183615.6	no
ENSG00000104093.14	no
ENSG00000253320.7	no
ENSG00000132849.22	no
ENSG00000068650.19	no
ENSG00000275318.1	no
ENSG00000185614.7	no
ENSG00000213066.14	no
ENSG00000225313.5	no
ENSG00000228315.12	no
ENSG00000257800.1	no
