Gene	aver_adj_r_sq	max_adj_r_sq	mean_cor	cor_value	cor_pvalue	cor_padj_BH
ENSG00000211749.1	0.0047671589397332	0.0169568875117734	0.033441072072567	-0.980185960544873	6.58425020932653e-07	1.56627783316723e-05
ENSG00000284928.1	0.00476079690093787	0.0191561666179226	0.018918080317319	-0.973445874433217	2.10668471902298e-06	2.70445431905498e-05
ENSG00000248359.2	0.0047595363189716	0.0180618036934693	0.0263574488181409	-0.915721417204523	0.000199174488602276	0.00046345505721399
ENSG00000158023.10	0.00475531422407149	0.0155083400605602	0.0618627180701581	-0.98888099210133	6.59835478059152e-08	7.63308554712098e-06
ENSG00000254431.1	0.00475055851513185	0.0155248925936994	0.041516414430549	-0.860014525049134	0.00141392289027067	0.00223923685134544
ENSG00000287534.1	0.00474870676229628	0.0162464817177919	0.0197139181313208	-0.869168622673252	0.00109133924230599	0.00179480300181594
ENSG00000143217.9	0.0047463478135131	0.0113197079894334	0.0141832786571989	-0.896904023984419	0.000435689960449993	0.000847064016487132
ENSG00000235111.1	0.0047460489078152	0.017683104515727	0.061551488823932	-0.972673093790925	2.36062303789264e-06	2.87402830945323e-05
ENSG00000287575.1	0.00473973991564409	0.0213156343320029	-0.0348466786692205	-0.79902980889393	0.00555565972737408	0.00741562929988778
ENSG00000110721.12	0.00473810597213404	0.014074952350852	0.0292142657317234	-0.817284018516958	0.0038863441050562	0.00539300522836153
ENSG00000259470.2	0.0047346168423085	0.0166750198958896	0.0245966424312978	-0.676231928389347	0.0317996464294005	0.0368526069062319
ENSG00000273111.6	0.00473459854915622	0.00880387776174651	0.00433532345376122	-0.0566364179216357	0.876504478419566	0.880180565217021
ENSG00000244021.4	0.0047323523247784	0.0347671269313599	-0.0135052678354567	-0.737600871080203	0.0148973011615509	0.0182180362266628
ENSG00000167034.10	0.00473233340361112	0.0376249331146047	0.0132035791639307	-0.681742088269263	0.0299123639595733	0.034794681791863
ENSG00000285095.2	0.00472613968763463	0.018228976276861	0.0475633511031511	-0.975465158947424	1.53909992681255e-06	2.33602847368349e-05
