	Basal	Her2	LumA	LumB	Normal
02423743-43b4-494b-acd9-1cd3bcd3d395	0	0	0.255084325396825	0.744915674603175	0
02bbe1b1-44ff-426b-a40e-47a01bc4cf7d	0.945356437148503	0	0	0	0.0546435628514972
0361ec21-e83f-40a9-b825-d92487b1239a	0	0	0.407992160278746	0.592007839721254	0
039eaafb-c311-45ff-9df7-30c1b0bab00a	0	0	0.797573557508598	0	0.202426442491402
040e40de-4c19-423f-98dc-151e2633d085	0	0	0.799616991643454	0.200383008356546	0
046c3754-b22c-4bce-93c7-29b9da173d33	0	0.313107822410148	0	0.686892177589852	0
04c428b5-d0b9-4ecf-86e8-8a42dc4cbb5e	0	0	0.611183550651956	0	0.388816449348044
04de1f79-fdfc-4662-bab2-a3ed667c7dea	0	0	0.688716207391929	0.311283792608071	0
04ed1bfb-533f-4d97-a7e4-3e7bab103485	0	0.0774134790528233	0	0.922586520947177	0
05b55f88-290a-4abd-bbc3-44561ba1f8b7	0	0	0.615983807654563	0	0.384016192345437
