Gene	mirnaTG
ENSG00000247903.1	no
ENSG00000154485.5	no
ENSG00000162636.16	no
ENSG00000162924.16	no
ENSG00000270871.1	no
ENSG00000139908.15	no
ENSG00000213713.3	no
ENSG00000285851.1	no
ENSG00000206530.11	no
ENSG00000197822.12	no
ENSG00000103599.20	no
ENSG00000253667.2	no
ENSG00000286555.1	no
ENSG00000269737.2	no
ENSG00000127364.4	no
ENSG00000284946.1	no
ENSG00000108465.15	no
ENSG00000254536.2	no
ENSG00000121454.6	no
ENSG00000244161.1	no
ENSG00000133315.12	yes
ENSG00000089327.15	no
ENSG00000197989.15	no
ENSG00000182224.12	no
ENSG00000178502.6	yes
ENSG00000108106.14	no
ENSG00000279759.1	no
ENSG00000265519.1	no
ENSG00000257270.1	no
ENSG00000279649.1	no
ENSG00000260773.1	no
ENSG00000129422.15	yes
ENSG00000239653.1	no
ENSG00000246859.3	no
ENSG00000170458.15	no
ENSG00000089177.20	no
ENSG00000228492.2	no
ENSG00000161888.12	no
ENSG00000259562.2	no
ENSG00000273151.1	no
ENSG00000188290.11	no
ENSG00000033867.17	yes
ENSG00000278987.1	no
ENSG00000271327.1	no
ENSG00000147475.17	no
ENSG00000281195.1	no
ENSG00000187240.17	no
ENSG00000279833.1	no
ENSG00000279203.1	no
ENSG00000261220.3	no
ENSG00000279382.1	no
ENSG00000278864.1	no
ENSG00000151006.8	no
ENSG00000111110.12	yes
ENSG00000286064.1	no
ENSG00000162620.16	no
ENSG00000282936.2	no
ENSG00000287737.3	no
ENSG00000280332.1	no
ENSG00000265678.1	no
ENSG00000231747.1	no
ENSG00000272574.1	no
ENSG00000270761.2	no
ENSG00000280213.1	no
ENSG00000271553.1	no
ENSG00000164684.13	no
ENSG00000290600.1	no
ENSG00000230084.8	no
ENSG00000277290.1	no
ENSG00000213057.5	no
ENSG00000197815.4	no
ENSG00000264112.1	no
ENSG00000278876.1	no
ENSG00000228499.1	no
ENSG00000183458.15	no
ENSG00000270589.1	no
ENSG00000205746.10	no
ENSG00000187193.9	no
ENSG00000080200.10	no
ENSG00000167371.21	no
ENSG00000092295.12	no
ENSG00000064309.16	yes
ENSG00000278918.1	no
ENSG00000124171.9	yes
