Gene	mirnaTG
ENSG00000159905.15	no
ENSG00000279759.1	no
ENSG00000019991.18	yes
ENSG00000001630.18	yes
ENSG00000197892.13	no
ENSG00000220842.6	no
ENSG00000241399.7	no
ENSG00000280063.1	no
ENSG00000115232.14	no
ENSG00000203392.3	no
ENSG00000265678.1	no
ENSG00000269825.3	no
ENSG00000223459.6	no
ENSG00000104549.12	no
ENSG00000245112.2	no
ENSG00000247735.2	no
ENSG00000266714.11	no
ENSG00000292277.1	no
ENSG00000262903.1	no
ENSG00000279198.2	no
ENSG00000272275.1	no
ENSG00000136490.9	no
ENSG00000235681.1	no
ENSG00000240652.1	no
ENSG00000248734.2	no
ENSG00000230084.8	no
ENSG00000267904.1	no
ENSG00000257298.1	no
ENSG00000253667.2	no
ENSG00000215417.14	no
ENSG00000105717.14	no
ENST00000667630:1	no
ENSG00000234338.1	no
ENSG00000183458.15	no
ENSG00000249863.2	no
ENSG00000130962.18	no
ENSG00000236876.3	no
ENSG00000049130.16	no
ENSG00000204584.1	no
ENSG00000229109.2	no
ENSG00000156042.19	no
ENSG00000279382.1	no
ENSG00000259605.3	no
ENSG00000134352.21	no
ENSG00000198832.11	no
ENSG00000184730.12	no
ENSG00000104419.17	yes
