Gene	Model	Statistic
ENSG00000171954.13	LM	0.123863926247105
ENSG00000110344.10	LM	0.123821590438528
ENSG00000164190.19	LM	0.123673204399848
ENSG00000165240.22	LM	0.123606500506066
ENSG00000202358.1	LM	0.12356761587302
ENSG00000114956.20	LM	0.12356086583027
ENSG00000162924.16	LM	0.123535513413713
ENSG00000160446.19	LM	0.123517330348852
ENSG00000105364.14	LM	0.123508256029305
ENSG00000174501.15	LM	0.123431205237988
ENSG00000188554.15	LM	0.123369874454865
ENSG00000102030.16	LM	0.123359922246221
ENSG00000160633.13	LM	0.123337828284571
ENSG00000008869.12	LM	0.123271868674972
ENSG00000269858.6	LM	0.12324386498697
ENSG00000198727.2	LM	0.123182917535287
ENSG00000150995.21	LM	0.123075858602338
ENSG00000127481.15	LM	0.123020820644357
ENSG00000123066.9	LM	0.122950919593192
ENSG00000176182.6	LM	0.122930588090556
ENSG00000263266.2	LM	0.122888283365872
ENSG00000067829.20	LM	0.12282960396792
ENSG00000145715.15	LM	0.122824678946274
ENSG00000261002.5	LM	0.122736567558966
ENSG00000132963.9	LM	0.122728964537043
ENSG00000254966.1	LM	0.122662062883438
ENSG00000134825.16	LM	0.122581364186768
ENSG00000173064.14	LM	0.122523882804944
ENSG00000065526.13	LM	0.122523564479602
ENSG00000143793.13	LM	0.122345325613115
ENSG00000115685.15	LM	0.122198106627986
ENSG00000288743.1	LM	0.122180298824718
ENSG00000105723.13	LM	0.122105430099546
ENSG00000065613.15	LM	0.122083579785263
ENSG00000229487.1	LM	0.122027415934969
ENSG00000272072.1	LM	0.12198592563539
ENSG00000183520.12	LM	0.121966068173277
ENSG00000198718.13	LM	0.121958974305366
ENSG00000132549.20	LM	0.121900723317734
ENSG00000213442.5	LM	0.121836670335596
ENSG00000182400.15	LM	0.121808217355636
ENSG00000164611.13	LM	0.121741955893555
ENSG00000241468.8	LM	0.121722677836062
ENSG00000178852.16	LM	0.121715387908367
ENSG00000189079.18	LM	0.121708784453904
ENSG00000182117.7	LM	0.12167890853977
ENSG00000140262.18	LM	0.121673882810206
ENSG00000075785.14	LM	0.121553152904668
ENSG00000225131.2	LM	0.121492968894356
ENSG00000257270.1	LM	0.121399824604503
ENSG00000090273.14	LM	0.121253496564553
ENSG00000187240.17	LM	0.121109549320639
ENSG00000128881.18	LM	0.121096992790697
ENSG00000203760.9	LM	0.121058978039
ENSG00000270307.1	LM	0.120991417351112
ENSG00000135486.19	LM	0.120949480052773
ENSG00000125835.20	LM	0.120947188883335
ENSG00000214653.4	LM	0.12084007925808
ENSG00000238150.1	LM	0.120679746024
ENSG00000179454.14	LM	0.120598980386808
ENSG00000164463.12	LM	0.120559535011296
ENSG00000134982.18	LM	0.120469450785307
ENSG00000137818.12	LM	0.1204655250804
ENSG00000123200.17	LM	0.120460112912658
ENSG00000128585.18	LM	0.120395856621001
ENSG00000172336.5	LM	0.120381936969438
ENSG00000100084.14	LM	0.120372697068052
ENSG00000114439.19	LM	0.120329691176678
ENSG00000011114.15	LM	0.120311659104795
ENSG00000267244.5	LM	0.120270458499675
ENSG00000023516.9	LM	0.120270355293752
ENSG00000134313.17	LM	0.120180971669037
ENSG00000198786.2	LM	0.120179896722721
ENSG00000198589.15	LM	0.120153793741474
ENSG00000225470.9	LM	0.120060855604003
ENSG00000204392.11	LM	0.120056273891875
ENSG00000280347.1	LM	0.120003138314583
ENSG00000109534.17	LM	0.119999121306828
ENSG00000238000.1	LM	0.11990621942872
ENSG00000129003.19	LM	0.119895215901148
ENSG00000226648.2	LM	0.119805420576543
ENSG00000122140.13	LM	0.11979406714538
ENSG00000243279.4	LM	0.119760512494692
ENSG00000103653.17	LM	0.119741917378118
ENSG00000141858.12	LM	0.119627283607506
ENSG00000141076.18	LM	0.119602175180604
ENSG00000130332.15	LM	0.119598856986503
ENSG00000131143.10	LM	0.119531963131593
ENSG00000128731.18	LM	0.11949545547051
ENSG00000172586.8	LM	0.119479419330111
ENSG00000135968.22	LM	0.119407560402286
ENSG00000155115.7	LM	0.11939764123019
ENSG00000250479.9	LM	0.119314583432865
ENSG00000166436.18	LM	0.119234368100356
ENSG00000170653.19	LM	0.119219578627899
ENSG00000177699.4	LM	0.119179944997191
ENSG00000029725.17	LM	0.119104740929857
ENSG00000167985.7	LM	0.119070130330022
ENSG00000196865.4	LM	0.119069860311642
ENSG00000167513.9	LM	0.119061818308489
ENSG00000122566.22	LM	0.118981016706237
ENSG00000126903.16	LM	0.118817630700746
ENSG00000212907.2	LM	0.11878543873556
ENSG00000290796.1	LM	0.118739569084757
ENSG00000112578.10	LM	0.118729475396845
ENSG00000111676.15	LM	0.118721416219286
ENSG00000115145.10	LM	0.118712642085101
ENSG00000204623.11	LM	0.118710820079499
ENSG00000204673.11	LM	0.118608471531487
ENSG00000217128.13	LM	0.118551031097132
ENSG00000226696.8	LM	0.118540778339321
ENSG00000160213.9	LM	0.118503756670568
ENSG00000119705.10	LM	0.118419591749838
ENSG00000135930.15	LM	0.118399101928587
ENSG00000197603.16	LM	0.118395735403419
ENSG00000115020.17	LM	0.118318139234707
ENSG00000178999.13	LM	0.118308484891539
ENSG00000286545.1	LM	0.11825446637999
ENSG00000252498.1	LM	0.118209019453912
ENSG00000136942.15	LM	0.118171200353072
ENSG00000115128.7	LM	0.118169033344251
ENSG00000011523.15	LM	0.118092041951583
ENSG00000254536.2	LM	0.117848046435549
ENSG00000145734.20	LM	0.117782995810119
ENSG00000100591.8	LM	0.117754242699894
ENSG00000173480.11	LM	0.117687023837198
ENSG00000248643.5	LM	0.11765906201537
ENSG00000104979.9	LM	0.117566576371228
ENSG00000178741.12	LM	0.117561815502523
ENSG00000139436.22	LM	0.117454006342185
ENSG00000206530.11	LM	0.117279816976892
ENSG00000167182.16	LM	0.117234336246454
ENSG00000116731.23	LM	0.117223309120828
ENSG00000173915.16	LM	0.117216510459737
ENSG00000226029.1	LM	0.117084330533308
ENSG00000171466.10	LM	0.117061416133531
ENSG00000173575.24	LM	0.11688083189922
ENSG00000204519.11	LM	0.116841317638982
ENSG00000100731.16	LM	0.116825196046609
ENSG00000166340.18	LM	0.116777198741389
ENSG00000157450.16	LM	0.116659723198586
ENSG00000269825.3	LM	0.116646764618642
ENSG00000159658.15	LM	0.116615203775125
ENSG00000279789.1	LM	0.11659092761049
ENSG00000144749.14	LM	0.116554149152466
ENSG00000292277.1	LM	0.116548226295884
ENSG00000241399.7	LM	0.116513077377314
ENSG00000145494.12	LM	0.116490982274812
ENSG00000136819.15	LM	0.116475030420238
ENSG00000260853.2	LM	0.116438510610694
ENSG00000214297.3	LM	0.116427861103902
ENSG00000198695.2	LM	0.116375830716461
ENSG00000145220.14	LM	0.116275053471347
ENSG00000235016.1	LM	0.11623410005025
ENSG00000120733.15	LM	0.116205585108278
ENSG00000177076.6	LM	0.11620515348811
ENSG00000148337.22	LM	0.116126662274485
ENSG00000164327.14	LM	0.116079345091558
ENSG00000204356.14	LM	0.115921348851244
ENSG00000113460.13	LM	0.115895210830061
ENSG00000203950.7	LM	0.115829742675574
ENSG00000170325.16	LM	0.115823167287351
ENSG00000166135.14	LM	0.115708571006761
ENSG00000188419.14	LM	0.115682279427091
ENSG00000231346.5	LM	0.115658629575654
ENSG00000154146.13	LM	0.115654966705542
ENSG00000186260.17	LM	0.115615701677753
ENSG00000132341.12	LM	0.115523917352034
ENSG00000167397.15	LM	0.115463573136552
ENSG00000100647.8	LM	0.115461642042959
ENSG00000232160.7	LM	0.115426164368989
ENSG00000198482.14	LM	0.115347882332201
ENSG00000262879.7	LM	0.115347065371444
ENSG00000189159.16	LM	0.115296657662292
ENSG00000177463.16	LM	0.115285936757625
ENSG00000137309.21	LM	0.115269974185279
ENSG00000283498.1	LM	0.115262884708911
ENSG00000107854.7	LM	0.115215081185504
ENSG00000177200.18	LM	0.115117704513917
ENSG00000228242.6	LM	0.115104106478995
ENSG00000095564.15	LM	0.11509071355153
ENSG00000161179.14	LM	0.115066827162898
ENSG00000267023.6	LM	0.115019366403132
ENSG00000122008.16	LM	0.115019178074883
ENSG00000178464.6	LM	0.114997521936953
ENSG00000204120.16	LM	0.114997002461617
ENSG00000162840.4	LM	0.11496514074702
