"Target","Evidence"
"BAMBI","predicted (union)"
"BARD1","predicted (union)"
"BARX2","predicted (union)"
"BAZ1B","predicted (intersection) + predicted (union)"
"BAZ2A","predicted (intersection) + predicted (union)"
"BAZ2B","predicted (union)"
"BBC3","predicted (intersection) + predicted (union)"
"BBIP1","predicted (union)"
"BBS7","predicted (union)"
"BBX","predicted (intersection) + predicted (union)"
"BCAP29","predicted (union)"
"BCAS2","predicted (intersection) + predicted (union)"
"BCAS4","predicted (union)"
"BCAT1","predicted (union)"
"BCCIP","predicted (intersection) + predicted (union)"
"BCL10","predicted (union)"
"BCL11A","predicted (union)"
"BCL11B","predicted (intersection) + predicted (union)"
"BCL2","predicted (intersection) + predicted (union)"
"BCL2L13","predicted (union)"
"BCL2L15","predicted (union)"
"BCL2L2","predicted (intersection) + predicted (union)"
"BCL6B","predicted (union)"
"BCL7C","predicted (union)"
"BCL9","predicted (union)"
"BCL9L","predicted (intersection) + predicted (union)"
"BCLAF1","predicted (intersection) + predicted (union)"
"BCLAF3","predicted (intersection) + predicted (union)"
"BCR","predicted (union)"
"BDH2","predicted (union)"
"BDNF","predicted (union)"
"BDP1","predicted (union)"
"BEND2","predicted (union)"
"BEND3","predicted (union)"
"BEND4","predicted (intersection) + predicted (union)"
"BEND6","predicted (intersection) + predicted (union)"
"BEST3","predicted (intersection) + predicted (union)"
"BEX1","predicted (intersection) + predicted (union)"
"BFAR","predicted (union)"
"BHLHE22","predicted (union)"
"BHLHE41","predicted (intersection) + predicted (union)"
"BICD1","predicted (intersection) + predicted (union)"
"BICRA","experimental (all) + predicted (intersection) + predicted (union)"
"BIRC3","predicted (union)"
"BIRC5","predicted (intersection) + predicted (union)"
"BIRC6","predicted (union)"
"BLK","predicted (union)"
"BLOC1S5","predicted (union)"
"BLOC1S6","predicted (intersection) + predicted (union)"
"BMERB1","predicted (union)"
"BMI1","predicted (union)"
"BMP2","predicted (intersection) + predicted (union)"
"BMP2K","predicted (union)"
"BMP3","predicted (intersection) + predicted (union)"
"BMPER","predicted (intersection) + predicted (union)"
"BMPR1A","predicted (intersection) + predicted (union)"
"BMPR1B","predicted (intersection) + predicted (union)"
"BMPR2","predicted (union)"
"BMS1","predicted (intersection) + predicted (union)"
"BMT2","predicted (union)"
"BNC1","predicted (union)"
"BNC2","predicted (intersection) + predicted (union)"
"BNIP1","predicted (intersection) + predicted (union)"
"BNIP2","predicted (intersection) + predicted (union)"
"BOC","predicted (union)"
"BOD1","predicted (intersection) + predicted (union)"
"BOD1L1","predicted (union)"
"BORCS5","predicted (union)"
"BORCS7","predicted (union)"
"BPGM","predicted (union)"
"BPHL","predicted (union)"
"BPNT1","predicted (union)"
"BPTF","predicted (union)"
"BPY2","predicted (union)"
"BRAP","predicted (intersection) + predicted (union)"
"BRD4","predicted (intersection) + predicted (union)"
"BRD7","predicted (intersection) + predicted (union)"
"BRI3","predicted (union)"
"BRI3BP","predicted (intersection) + predicted (union)"
"BRINP1","predicted (union)"
"BRIP1","predicted (union)"
"BRIX1","predicted (union)"
"BRMS1L","predicted (union)"
"BROX","predicted (intersection) + predicted (union)"
"BRPF3","predicted (intersection) + predicted (union)"
"BRWD1","predicted (union)"
"BRWD3","predicted (intersection) + predicted (union)"
"BSN","predicted (union)"
"BTAF1","predicted (union)"
"BTBD1","predicted (intersection) + predicted (union)"
"BTBD11","predicted (union)"
"BTBD7","predicted (intersection) + predicted (union)"
"BTBD9","predicted (union)"
"BTD","predicted (intersection) + predicted (union)"
"BTF3L4","predicted (intersection) + predicted (union)"
"BTG1","predicted (intersection) + predicted (union)"
"BTLA","predicted (union)"
"BTN3A1","predicted (intersection) + predicted (union)"
"BTRC","predicted (intersection) + predicted (union)"
"BVES","predicted (intersection) + predicted (union)"
"C10orf62","predicted (union)"
"C10orf67","predicted (union)"
"C10orf88","predicted (union)"
"C11orf1","predicted (union)"
"C11orf16","predicted (union)"
"C11orf53","predicted (intersection) + predicted (union)"
"C11orf58","predicted (intersection) + predicted (union)"
"C11orf65","predicted (union)"
"C11orf71","predicted (union)"
"C11orf74","experimental (all) + predicted (union)"
"C11orf87","predicted (union)"
"C12orf29","predicted (union)"
"C12orf4","predicted (union)"
"C12orf40","predicted (union)"
"C12orf43","predicted (union)"
